no,cet,glyphs,validation,miuk,sievhiunnNO,sjeng,xu,tonk,hiunnbuu,dew,romA,romB,note,note2,miuknote,v'n'others,代用,no'',sum
1,"德紅","東菄鶇䍶??倲????涷蝀凍鯟??崠埬??䰤",".","1.01東",1,"端","開","一","東","平","tung","tung",,,,,,1,17
2,"徒紅","同仝童僮銅桐峒硐????筒瞳㼧??罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿????眮蕫穜衕????䆚哃??絧??????????",".","1.01東",2,"定","開","一","東","平","dung","dung",,,,,,2,45
3,"陟弓","中衷忠??",".","1.01東",3,"知","開","三","東","平","triung","tiung",,,,,,3,4
4,"直弓","蟲沖种盅爞??翀",".","1.01東",4,"澄","開","三","東","平","driung","diung",,,,,,4,7
5,"職戎","終衆潨??螽??鼨蔠柊??䶱鴤䈺泈䝦",".","1.01東",5,"章","開","三","東","平","cjung","tjung",,,,"[衆|眾]",,5,15
6,"敕中","忡浺盅",".","1.01東",6,"徹","開","三","東","平","thriung","thiung",,,,,,6,3
7,"鋤弓","崇崈㓽??",".","1.01東",7,"崇","開","三","東","平","zriung","drung",,,,,,7,4
8,"息弓","嵩崧??娀菘硹㣝????",".","1.01東",8,"心","開","三","東","平","siung","siung",,,,,,8,9
9,"如融","戎??茙㭜駥????狨絨",".","1.01東",9,"日","開","三","東","平","njung","rung",,,,,,9,9
10,"居戎","弓躳躬㴦宮匑",".","1.01東",10,"見","開","三","東","平","kiung","kiung",,,,,,10,6
11,"以戎","融㊀肜瀜",".","1.01東",11,"以","開","三","東","平","jung","jung",,,,,"{㊀|HV鬲虫}",11,4
12,"羽弓","雄熊",".","1.01東",12,"云","開","三","東","平","iung","hiung",,,,,,12,2
13,"莫中","瞢夢??懜????",".","1.01東",13,"明","開","三","東","平","miung","miung",,,,,,13,6
14,"去宮","穹??焪芎??匑??",".","1.01東",14,"溪","開","三","東","平","khiung","qiung",,,,,,14,7
15,"渠弓","窮藭??",".","1.01東",15,"群","開","三","東","平","giung","giung",,,,,,15,3
16,"房戎","馮堸汎芃??渢梵",".","1.01東",16,"並","開","三","東","平","biung","biung",,,,,,16,7
17,"方戎","風飌楓猦偑檒??",".","1.01東",17,"幫","開","三","東","平","piung","piung",,,,"瘋",,17,7
18,"敷空","豐酆蘴灃寷麷㒥㠦",".","1.01東",18,"滂","開","三","東","平","phiung","phiung",,,,,,18,8
19,"昌終","充珫茺㤝䘪??㳘",".","1.01東",19,"昌","開","三","東","平","chjung","tcung",,,,,,19,7
20,"力中","隆癃??窿霳㚅",".","1.01東",20,"來","開","三","東","平","liung","liung",,,,,,20,6
21,"苦紅","空箜崆椌硿䅝悾埪倥涳鵼??????",".","1.01東",21,"溪","開","一","東","平","khung","qung",,,,,,21,14
22,"古紅","公功工疘蚣玒釭魟攻㓚愩碽篢",".","1.01東",22,"見","開","一","東","平","kung","kung",,,,,,22,13
23,"莫紅","蒙冡濛??艨䑃矇饛䰒檬??䴿??鸏幪罞??髳蠓??雺霿霚朦䀄懜霥",".","1.01東",23,"明","開","一","東","平","mung","mung",,,,"[礞]",,23,26
24,"盧紅","籠豅㰍朧??龓䪊瀧聾??礱䆍??嚨蘢櫳??巃襱??瓏曨鸗??蠪㟅屸",".","1.01東",24,"來","開","一","東","平","lung","lung",,,,,,24,27
25,"戸公","洪鉷訌紅虹仜鴻葒葓谼䉺烘洚渱??魟䧆䪦??䫹㊀??",".","1.01東",25,"匣","開","一","東","平","ghung","hung",,,,,"{㊀|H石夆}",25,22
26,"徂紅","叢藂䕺潨??",".","1.01東",26,"從","開","一","東","平","zung","dzung",,,,,,26,5
27,"烏紅","翁螉䱵蓊䈵䩺㮬??",".","1.01東",27,"影","開","一","東","平","qung","ung",,,,,,27,8
28,"倉紅","怱忩葱楤??聦繱??騘䗓囪??鍯㷓??",".","1.01東",28,"清","開","一","東","平","chung","cung",,,,"匆蔥樬䡯聰??璁驄蟌??鏓熜??",,28,15
29,"他紅","通蓪侗恫痌曈俑????",".","1.01東",29,"透","開","一","東","平","thung","thung",,,,,,29,9
30,"子紅","葼鬷嵕猣豵鯼椶騣??䗥嵸艐蝬堫??翪緵㚇㣭稯鬉",".","1.01東",30,"精","開","一","東","平","cung","zung",,,,"{??|鬃}{椶|棕}",,30,21
31,"薄紅","蓬??篷髼蜂芃??韸䮾??",".","1.01東",31,"並","開","一","東","平","bung","bung",,,,,,31,10
32,"呼東","烘叿魟谾????",".","1.01東",32,"曉","開","一","東","平","hung","xung",,,,,,32,6
33,"五東","㟅",".","1.01東",33,"疑","開","一","東","平","ngung","ngung",,,,,,33,1
34,"蘇公","檧憽㬝",".","1.01東",34,"心","開","一","東","平","sung","sung",,,,"[憽|忪]",,34,3
35,"都宗","冬??苳䳉笗????",".","1.02冬",1,"端","開","一","冬","平","tuung","tvng",,,,,,35,7
36,"徒冬","彤疼佟炵䳋鼕????爞㤏痋䂈鉵????浵䶱??鉖??㠽赨",".","1.02冬",2,"定","開","一","冬","平","duung","dvng",,,,,,36,22
37,"藏宗","賨琮悰潨淙慒鬃㼻孮誴??",".","1.02冬",3,"從","開","一","冬","平","zuung","dzvng",,,,,,37,11
38,"奴冬","農䢉辳????噥??憹㺜儂??膿",".","1.02冬",4,"泥","開","一","冬","平","nuung","nvng",,,,,,38,12
39,"古冬","攻釭",".","1.02冬",5,"見","開","一","冬","平","kuung","kvng",,,,,,39,2
40,"戸冬","䃔洚㗢??",".","1.02冬",6,"匣","開","一","冬","平","ghuung","hvng",,,,,,40,4
41,"力冬","䃧䥢??",".","1.02冬",7,"來","開","一","冬","平","luung","lvng",,,,,,41,3
42,"作冬","宗倧",".","1.02冬",8,"精","開","一","冬","平","cuung","zvng",,,,,,42,2
43,"私宗","鬆䯳",".","1.02冬",9,"心","開","一","冬","平","suung","svng",,,,,,43,2
44,"他冬","炵",".","1.02冬",10,"透","開","一","冬","平","thuung","thvng",,,,,,44,1
45,"職容","鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬??炂????鈆",".","1.03鍾",1,"章","開","三","鍾","平","cjyung","tjvng",,,,,,45,18
46,"力鍾","龍??躘鸗驡??籠??蘢",".","1.03鍾",2,"來","開","三","鍾","平","lyung","livng",,,,,,46,9
47,"書容","舂??摏蹖??憃",".","1.03鍾",3,"書","開","三","鍾","平","sjyung","sjvng",,,,,,47,6
48,"祥容","松㮤淞訟",".","1.03鍾",4,"邪","開","三","鍾","平","zsyung","szivng",,,,,,48,4
49,"尺容","??衝罿憧䡴艟潼褈????䂌",".","1.03鍾",5,"昌","開","三","鍾","平","chjyung","tcvng",,,,,,49,11
50,"餘封","容溶滽庸????㺎??墉鎔鏞銿鄘傭??㼸??鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾????槦㣑??",".","1.03鍾",6,"以","開","三","鍾","平","jyung","jvng",,,,,,50,35
51,"府容","封??犎葑崶",".","1.03鍾",7,"幫","開","三","鍾","平","pyung","pivng",,,,"篈㜂",,51,5
52,"許容","胷凶??銎洶恟??兇訩匈",".","1.03鍾",8,"曉","開","三","鍾","平","hyung","xivng",,,,"[胷|胸]",,52,10
54,"於容","邕雍噰嗈郺澭灉癰罋廱饔壅雝??㻾??",".","1.03鍾",10,"影","開","三","鍾","平","qyung","ivng",,,,"|蕹",,54,16
55,"女容","醲??濃襛穠檂????",".","1.03鍾",11,"娘","開","三","鍾","平","nryung","nivng",,,,"|㺜",,55,8
56,"直容","重穜緟褈䳯蝩",".","1.03鍾",12,"澄","開","三","鍾","平","dryung","divng",,,,,,56,6
57,"疾容","從从??",".","1.03鍾",13,"從","開","三","鍾","平","zyung","dzivng",,,,,,57,3
